"Q:0","Q:1","Q:2","Q:3","Q:4","Q:5","Q:6","Q:7","coordinates:0","coordinates:1","coordinates:2"
0,9.4868e-20,0,0.022876,0.0054927,0.14408,0.0023512,1e+05,18.736,25.6,5.6
0,3.7524e-19,0,0.020193,-0.0090668,0.16253,0.00176,1e+05,18.787,25.876,5.6
0,-2.1684e-19,3.0358e-18,-0.001948,0.012911,0.16741,0.0013923,1e+05,18.913,26.4,5.6
2.1684e-19,2.1684e-19,-6.0715e-18,-0.032918,0.044991,0.15791,0.00096361,1e+05,19.082,26.924,5.6
4.3368e-19,1.7347e-18,-6.0173e-18,-0.039145,0.057229,0.14749,0.00095086,1e+05,19.19,27.2,5.6
0,0,2.9816e-18,0.0093703,0.0040297,0.18579,0.0017556,1e+05,18.801,25.6,5.8763
0,0,-2.9816e-18,0.002497,-0.0028956,0.18104,0.0013066,1e+05,18.849,25.876,5.8763
0,-4.3368e-19,0,-0.013353,0.014137,0.1725,0.0011671,1e+05,18.969,26.4,5.8763
2.1684e-19,2.1684e-19,3.0358e-18,-0.033338,0.043808,0.16374,0.00083196,1e+05,19.129,26.924,5.8763
4.3368e-19,4.3368e-19,6.0021e-18,-0.041241,0.057269,0.1569,0.00089895,1e+05,19.232,27.2,5.8763
0,-1.8974e-19,0,-0.011536,0.014168,0.20221,0.001602,1e+05,18.926,25.6,6.4
-8.6736e-19,0,0,-0.018937,0.012158,0.19594,0.0013384,1e+05,18.969,25.876,6.4
2.1684e-19,-4.3368e-19,-6.0715e-18,-0.029121,0.020283,0.18733,0.0011029,1e+05,19.076,26.4,6.4
2.1684e-19,0,-3.0019e-18,-0.037887,0.042144,0.17457,0.00079462,1e+05,19.22,26.924,6.4
4.3368e-19,4.3368e-19,0,-0.042915,0.054035,0.16617,0.00082319,1e+05,19.312,27.2,6.4
-4.3368e-19,0,0,-0.032088,0.038602,0.22551,0.001301,1e+05,19.026,25.6,6.9237
8.6736e-19,0,0,-0.038548,0.033278,0.22173,0.0011342,1e+05,19.065,25.876,6.9237
4.3368e-19,-4.3368e-19,-6.0173e-18,-0.045311,0.034296,0.21169,0.0010041,1e+05,19.163,26.4,6.9237
-4.3368e-19,6.5052e-19,-3.0358e-18,-0.044945,0.046786,0.19427,0.00079432,1e+05,19.293,26.924,6.9237
-4.3368e-19,-6.5052e-19,0,-0.043456,0.05697,0.1833,0.0007678,1e+05,19.377,27.2,6.9237
2.1684e-19,0,-3.0358e-18,-0.044509,0.07468,0.25854,0.0019984,1e+05,19.059,25.6,7.2
-4.3368e-19,-7.5894e-19,0,-0.050335,0.058399,0.2484,0.0017071,1e+05,19.097,25.876,7.2
-1.0842e-18,8.6736e-19,0,-0.054506,0.051287,0.23287,0.0012615,1e+05,19.191,26.4,7.2
2.1684e-19,0,6.0715e-18,-0.049477,0.057687,0.21143,0.00096675,1e+05,19.317,26.924,7.2
2.1684e-19,-2.1684e-18,3.0358e-18,-0.045137,0.066614,0.19675,0.00087854,1e+05,19.398,27.2,7.2
0,0,3.0358e-18,0.031258,0.029654,0.15438,0.00053264,1e+05,19.84,28.8,8.8
4.3368e-19,1.5179e-18,-3.0358e-18,0.01909,0.03246,0.13711,0.00041797,1e+05,19.887,29.076,8.8
-5.421e-20,6.5052e-19,3.4694e-18,0.003329,0.02864,0.11247,0.00027459,1e+05,19.964,29.6,8.8
0,4.3368e-19,3.4694e-18,-0.0055979,0.021772,0.095096,0.00021742,1e+05,20.005,30.124,8.8
-2.1684e-19,2.1684e-19,8.6736e-19,-0.009375,0.018011,0.086919,0.00013324,1e+05,20.005,30.4,8.8
0,0,3.0358e-18,0.030536,0.011471,0.13195,0.0004777,1e+05,19.834,28.8,9.0763
2.1684e-19,-2.1684e-19,1.7347e-18,0.019115,0.015338,0.11854,0.0004431,1e+05,19.883,29.076,9.0763
0,2.1684e-19,1.7347e-18,0.0024578,0.01873,0.10212,0.00035108,1e+05,19.962,29.6,9.0763
2.1684e-19,-2.1684e-19,8.6736e-19,-0.0070379,0.018971,0.09162,0.00024287,1e+05,20.005,30.124,9.0763
-4.3368e-19,-3.2526e-19,0,-0.011032,0.017071,0.085696,0.00015164,1e+05,20.005,30.4,9.0763
0,0,0,0.039453,-0.0078259,0.12654,0.00019488,1e+05,19.822,28.8,9.6
0,0,3.0358e-18,0.026445,0.00042341,0.11203,0.00024237,1e+05,19.874,29.076,9.6
0,0,1.301e-18,0.0037365,0.016207,0.09826,0.00022102,1e+05,19.959,29.6,9.6
1.0842e-19,-2.1684e-19,8.6736e-19,-0.0098294,0.023591,0.08958,0.00015064,1e+05,20.004,30.124,9.6
-4.3368e-19,-4.3368e-19,1.7347e-18,-0.01534,0.021692,0.082585,2.3833e-05,1e+05,20.005,30.4,9.6
0,-6.5052e-19,3.0358e-18,0.056007,-0.058846,0.12545,0.0003149,1e+05,19.813,28.8,10.124
0,0,0,0.038674,-0.037498,0.11085,0.00036423,1e+05,19.867,29.076,10.124
-1.0842e-19,-2.1684e-19,0,0.0068981,-0.0022316,0.094073,0.00032661,1e+05,19.956,29.6,10.124
-2.1684e-19,0,1.301e-18,-0.013734,0.020615,0.080082,0.00021905,1e+05,20.004,30.124,10.124
0,-4.3368e-19,-1.5179e-18,-0.021469,0.023011,0.071368,0.00012368,1e+05,20.005,30.4,10.124
0,0,1.7347e-18,0.068983,-0.11913,0.11303,0.00051846,1e+05,19.811,28.8,10.4
8.6736e-19,1.5179e-18,0,0.048023,-0.085677,0.10254,0.0005324,1e+05,19.866,29.076,10.4
1.0842e-19,4.3368e-19,-1.7347e-18,0.010432,-0.033252,0.087207,0.00046227,1e+05,19.955,29.6,10.4
1.0842e-19,-2.1684e-19,8.6736e-19,-0.014914,0.0086033,0.070802,0.00029752,1e+05,20.004,30.124,10.4
-4.3368e-19,2.1684e-19,-8.6736e-19,-0.023713,0.018819,0.06153,0.00012387,1e+05,20.004,30.4,10.4
0,0,-1.7347e-18,-0.017144,0.090474,0.10605,0.0004276,1e+05,19.785,28.8,5.6
0,3.0358e-18,8.6736e-19,-0.010796,0.082523,0.092352,0.00027004,1e+05,19.848,29.076,5.6
0,-2.1684e-18,0,-0.00085577,0.061498,0.066252,0.00021039,1e+05,19.951,29.6,5.6
0,-1.5179e-18,-8.6736e-19,0.0073813,0.050882,0.043212,0.00023008,1e+05,20.006,30.124,5.6
0,-1.5179e-18,0,0.017007,0.049851,0.033416,0.00042229,1e+05,20.007,30.4,5.6
0,1.5179e-18,1.7347e-18,-0.012407,0.084679,0.10729,0.00040835,1e+05,19.796,28.8,5.8763
0,-1.5179e-18,8.6736e-19,-0.0069524,0.077793,0.094551,0.00024693,1e+05,19.856,29.076,5.8763
-8.6736e-19,1.5179e-18,0,0.0021056,0.057121,0.071156,0.00015364,1e+05,19.953,29.6,5.8763
0,-8.6736e-19,-1.7347e-18,0.0081336,0.045676,0.051504,0.00018435,1e+05,20.006,30.124,5.8763
0,-1.5179e-18,8.6736e-19,0.015194,0.044688,0.043253,0.00039369,1e+05,20.007,30.4,5.8763
0,-1.5179e-18,-4.3368e-18,-0.0079196,0.0745,0.10615,0.00045197,1e+05,19.818,28.8,6.4
8.6736e-19,1.301e-18,0,-0.0041906,0.071553,0.095724,0.00031325,1e+05,19.871,29.076,6.4
0,7.5894e-19,-1.7347e-18,0.0032446,0.054839,0.079605,0.00021971,1e+05,19.959,29.6,6.4
0,7.5894e-19,1.7347e-18,0.0074251,0.040302,0.066778,0.00022183,1e+05,20.006,30.124,6.4
8.6736e-19,1.4637e-18,-8.6736e-19,0.011349,0.037182,0.060758,0.00038284,1e+05,20.006,30.4,6.4
0,-3.0358e-18,2.6021e-18,-0.004471,0.074447,0.10976,0.00039108,1e+05,19.835,28.8,6.9237
-8.6736e-19,0,-8.6736e-19,-0.0037879,0.075998,0.10154,0.00027539,1e+05,19.884,29.076,6.9237
4.3368e-19,7.5894e-19,2.6021e-18,0.00092073,0.061717,0.090737,0.00019246,1e+05,19.963,29.6,6.9237
0,-7.5894e-19,1.7347e-18,0.0048691,0.039554,0.080582,0.00020296,1e+05,20.006,30.124,6.9237
0,7.5894e-19,2.6021e-18,0.0071502,0.031862,0.07439,0.00033799,1e+05,20.006,30.4,6.9237
-4.3368e-19,-4.4452e-18,1.7347e-18,-0.0040803,0.08232,0.11653,0.00045609,1e+05,19.841,28.8,7.2
0,-1.5179e-18,0,-0.0054027,0.085042,0.10857,0.00036626,1e+05,19.888,29.076,7.2
-4.3368e-19,0,1.7347e-18,-0.0020135,0.069559,0.098317,0.0003219,1e+05,19.964,29.6,7.2
-4.3368e-19,-7.3184e-19,1.7347e-18,0.0024649,0.041671,0.087128,0.00031017,1e+05,20.006,30.124,7.2
0,-3.7947e-19,0,0.004126,0.031089,0.079639,0.00035623,1e+05,20.006,30.4,7.2
0,-4.3368e-19,3.0358e-18,0.016042,0.046787,0.11583,0.00020172,1e+05,19.811,28.8,10.4
-8.6736e-19,6.5052e-19,0,0.0032366,0.058928,0.10444,0.00021678,1e+05,19.866,29.076,10.4
0,1.5179e-18,4.3368e-19,-0.016611,0.067933,0.087686,0.00031447,1e+05,19.955,29.6,10.4
-2.1684e-19,0,0,-0.019979,0.041981,0.070642,0.00033129,1e+05,20.004,30.124,10.4
0,7.5894e-19,0,-0.01962,0.019767,0.061299,0.00026446,1e+05,20.004,30.4,10.4
0,-4.3368e-19,3.0358e-18,0.02786,-0.01381,0.11456,0.0003468,1e+05,19.81,28.8,10.676
8.6736e-19,-2.1684e-19,0,0.011862,0.0097552,0.1044,0.00031778,1e+05,19.865,29.076,10.676
0,0,-8.6736e-19,-0.012721,0.03403,0.086267,0.00027131,1e+05,19.955,29.6,10.676
-2.1684e-19,0,0,-0.020726,0.026462,0.065401,0.00023518,1e+05,20.004,30.124,10.676
0,-4.3368e-19,7.5894e-19,-0.021499,0.013156,0.054404,0.00024298,1e+05,20.004,30.4,10.676
0,-2.1684e-18,-1.7347e-18,0.041193,-0.054783,0.10415,0.00025592,1e+05,19.807,28.8,11.2
0,0,1.7347e-18,0.022812,-0.025299,0.095126,0.00022991,1e+05,19.863,29.076,11.2
4.3368e-19,1.0842e-19,8.6736e-19,-0.0049783,0.0048995,0.074605,0.00018643,1e+05,19.954,29.6,11.2
0,2.1684e-19,-6.5052e-19,-0.019334,0.010525,0.050841,0.00015842,1e+05,20.004,30.124,11.2
0,-1.0842e-19,0,-0.022803,0.0077448,0.038546,0.00015304,1e+05,20.004,30.4,11.2
0,3.0358e-18,-8.6736e-19,0.05304,-0.087533,0.087479,0.00044713,1e+05,19.809,28.8,11.724
0,8.6736e-19,1.7347e-18,0.034793,-0.057371,0.076942,0.00039966,1e+05,19.864,29.076,11.724
0,2.1684e-19,8.6736e-19,0.0050181,-0.021829,0.054763,0.00031083,1e+05,19.955,29.6,11.724
-8.6736e-19,-8.8091e-20,4.3368e-19,-0.014638,-0.0038457,0.034503,0.00023613,1e+05,20.003,30.124,11.724
0,0,2.1684e-19,-0.020714,0.0022836,0.025073,0.00018223,1e+05,20.004,30.4,11.724
0,0,0,0.059783,-0.13715,0.090858,0.00037941,1e+05,19.813,28.8,12
0,-1.301e-18,-8.6736e-19,0.042059,-0.10214,0.075847,0.00031056,1e+05,19.868,29.076,12
0,0,0,0.0098361,-0.052605,0.050112,0.00031091,1e+05,19.956,29.6,12
0,-5.6921e-19,4.3368e-19,-0.012802,-0.017259,0.030516,0.00030747,1e+05,20.003,30.124,12
0,-1.0842e-19,0,-0.019638,-0.0038158,0.021426,0.00019602,1e+05,20.004,30.4,12
0,7.5894e-19,-6.0715e-18,0.080314,0.034448,0.26395,0.0010068,1e+05,19.059,25.6,7.2
-8.6736e-19,0,-3.0358e-18,0.065935,0.033121,0.2548,0.00093068,1e+05,19.097,25.876,7.2
0,-6.5052e-19,0,0.045201,0.025509,0.23897,0.00083844,1e+05,19.191,26.4,7.2
4.3368e-19,-2.1684e-19,0,0.034948,0.023383,0.21609,0.00070233,1e+05,19.317,26.924,7.2
-4.3368e-19,4.3368e-19,-6.0715e-18,0.033291,0.024285,0.20054,0.00063324,1e+05,19.398,27.2,7.2
0,0,-6.0715e-18,0.054356,0.073527,0.27014,0.0011415,1e+05,19.076,25.6,7.4763
-4.3368e-19,6.5052e-19,9.1073e-18,0.042449,0.064022,0.26051,0.001136,1e+05,19.113,25.876,7.4763
0,0,3.0358e-18,0.027899,0.047,0.24145,0.00093709,1e+05,19.206,26.4,7.4763
0,-2.1684e-19,5.9631e-18,0.026605,0.035723,0.21623,0.00076299,1e+05,19.329,26.924,7.4763
4.3368e-19,-7.5894e-19,0,0.030081,0.034592,0.20109,0.0006415,1e+05,19.409,27.2,7.4763
0,-1.5043e-18,0,0.061132,0.078335,0.37097,0.00071528,1e+05,19.094,25.6,8
2.1684e-19,-1.5179e-18,0,0.047413,0.072643,0.35295,0.00088662,1e+05,19.13,25.876,8
0,8.6736e-19,-1.1926e-17,0.030831,0.051173,0.31796,0.00073908,1e+05,19.221,26.4,8
0,3.2526e-19,0,0.035852,0.024536,0.2748,0.00071747,1e+05,19.342,26.924,8
0,-3.7269e-19,5.8547e-18,0.044702,0.020953,0.25081,0.00048129,1e+05,19.42,27.2,8
1.301e-18,0,6.0715e-18,0.076864,0.071248,0.43758,0.00049407,1e+05,19.083,25.6,8.5237
-1.7347e-18,-1.5179e-18,-1.2143e-17,0.06443,0.080747,0.42074,0.00070547,1e+05,19.119,25.876,8.5237
8.6736e-19,-1.4637e-18,6.0715e-18,0.049365,0.048404,0.37196,0.00065452,1e+05,19.211,26.4,8.5237
0,0,0,0.056739,0.005477,0.314,0.00076175,1e+05,19.334,26.924,8.5237
0,-1.0842e-19,0,0.063246,0.0014443,0.2819,0.00038032,1e+05,19.413,27.2,8.5237
8.6736e-19,0,1.2143e-17,0.082334,0.037189,0.36035,0.0028322,1e+05,19.061,25.6,8.8
-4.3368e-19,1.4908e-18,6.0715e-18,0.073428,0.069933,0.37565,0.0027483,1e+05,19.099,25.876,8.8
0,0,0,0.06704,0.0359,0.34189,0.0023919,1e+05,19.193,26.4,8.8
0,0,0,0.075616,-0.010717,0.28189,0.0019516,1e+05,19.318,26.924,8.8
0,-4.3368e-19,6.0715e-18,0.075127,-0.010961,0.24448,0.0015682,1e+05,19.399,27.2,8.8
0,-2.9816e-18,0,-0.010695,0.16903,0.3874,0.0035594,1e+05,19.061,25.6,8.8
0,3.0087e-18,6.0715e-18,0.00097274,0.084496,0.39589,0.0033607,1e+05,19.099,25.876,8.8
